;Th0_05h_1;Th0_05h_2;Th0_05h_3;Th0_05h_Medel;Th0_1h_1;Th0_1h_2;Th0_1h_3;Th0_1h_Medel;Th0_2h_1;Th0_2h_2;Th0_2h_3;Th_0_2h_Medel;Th0_4h_1;Th0_4h_2;Th0_4h_3;Th0_4h_medel;Th0_6h_1;Th0_6h_2;Th0_6h_3;Th0_6h_Medel;Th0_12h_1;Th0_12h_2;Th0_12h_3;Th0_12h_Medel;Th0_24h_1;Th0_24h_2;Th0_24h_3;Th0_24h_Medel;Th0_48h_1;Th0_48h_2;Th0_48h_3;Th0_48h_Medel;Th0_72h_1;Th0_72h_2;Th0_72h_3;Th0_72_Medel;;;;;;;;;;Tidpunkter;;testset
ENSG00000283444;0;0,250495;0,224954;0,158483;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Th0_05h_Medel;Th0_1h_Medel;Th_0_2h_Medel;Th0_4h_medel;Th0_6h_Medel;Th0_12h_Medel;Th0_24h_Medel;Th0_48h_Medel;Th0_72_Medel;Th2 05h medel;Th2 1h medel;Th2 2h medel;Th2 4h medel;Th2 6h medel;Th2 12h medel;Th2 24h medel;Th2 48h medel;Th2 72h medel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283607;0;0;0;0;0;0;0;0;0;0;0;0;0,30958833;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283297;1,018533667;0,884068333;0,601971667;0,769048;1,105856667;1,531227333;0,45542;1,377453333;2,057886667;1,038448333;1,022107667;0,461779667;0,599878;1,09112;1,435311;0,597872667;1,652713333;1,58677333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283573;0,367009;0,530523333;1,678206667;1,274680667;0,223033333;0,418595667;0;0;0;0,294355;0,742495333;1,391894667;0,91647633;0,24893333;0;0,118886;0,104613333;0,09830667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000282961;0,35185;0,289610333;0,357787;0,308081333;0,353202333;0,250661;0,183706;0,18197;0,172409667;0,385486;0,292360667;0,287958;0,302974;0,278321;0,24640667;0,178887333;0,200734333;0,18381467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000283444;0;0;0,145395;0;0;0;0;0;0;0,158483;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
